"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"Brd1","1","SSD1306","","","","SSD1306:128x64OLED",""
"BT1","1","Battery_Cell","","","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~"
"D1","1","NeoPixel_THT","","","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","https://www.adafruit.com/product/1938"
"D2","1","LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"M1","1","Stepper_Motor_bipolar","","","","x27_Footprint:x27_stepper","http://www.infineon.com/dgdl/Application-Note-TLE8110EE_driving_UniPolarStepperMotor_V1.1.pdf?fileId=db3a30431be39b97011be5d0aa0a00b0"
"R1","1","10k","","","","","~"
"R2","1","85ohm","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"SW1,SW2,SW3","3","SW_Push","","","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~"
"SW4","1","SW_SPDT","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
"U1","1","Xiaoesp32c3","","","","",""
"U2","1","A3144","","","","",""
"U4","1","Xiaoesp32c3","","","","GIX_ESP32:XIAO_ESP32",""
